Apskritis;Savivaldybiu skaicius;Plotas (km2);Gyventoju skaicius
Alytaus;5;5425;155203
Kauno;8;8089;600363
Klaipedos;7;5209;335304
Marijampoles;5;4463;159447
Panevezio;6;7881;246591
Siauliu ;7;8540;296305
Taurages;4;4411;108320
Telsiu;4;4350;150111
Utenos;6;7201;149179
Vilniaus;8;9731;806935
Lietuva;60;65300;3007758
